Date,Water_Consumption_Liters,Population,Temperature_C,Rainfall_mm,Season
2019-01-31,51247395.385706075,500599,24.04,42.91,Winter
2019-02-28,51133125.690669954,501071,28.29,14.93,Winter
2019-03-31,56320753.626226164,501701,27.79,34.03,Spring
2019-04-30,58259725.51756412,502505,26.27,10.0,Spring
2019-05-31,57409716.343003385,502959,26.63,40.87,Spring
2019-06-30,60033223.35920192,503412,22.71,71.9,Summer
2019-07-31,57262557.58727576,504228,14.86,55.09,Summer
2019-08-31,54999264.31201936,504881,13.35,70.32,Summer
2019-09-30,57944795.76630821,505287,10.72,81.0,Fall
2019-10-31,58713151.2461047,505896,10.05,70.95,Fall
2019-11-30,62585409.27188297,506303,15.72,49.49,Fall
2019-12-31,52955694.45977557,506710,23.08,50.69,Winter
2020-01-31,51029591.56240884,507258,24.93,24.38,Winter
2020-02-29,54287496.58016187,507376,31.79,28.76,Winter
2020-03-31,57826242.18237322,507531,24.76,10.81,Spring
2020-04-30,60682429.27854513,507918,30.3,39.52,Spring
2020-05-31,58666733.38080601,508216,25.17,27.17,Spring
2020-06-30,60124322.868048936,508778,19.4,46.78,Summer
2020-07-31,57946072.370357215,509097,15.18,73.14,Summer
2020-08-31,53049880.29501646,509314,7.36,63.67,Summer
2020-09-30,58310993.033269405,510107,9.56,82.27,Fall
2020-10-31,61317988.359419234,510562,12.05,89.05,Fall
2020-11-30,65862448.09017464,511076,17.96,48.93,Fall
2020-12-31,52624357.6581201,511291,18.96,51.85,Winter
2021-01-31,49942450.92417766,511682,23.38,37.6,Winter
2021-02-28,53279499.43677379,512204,27.66,31.84,Winter
2021-03-31,62436798.836813785,512474,31.83,7.63,Spring
2021-04-30,63462332.25115305,513049,29.32,10.81,Spring
2021-05-31,59783100.151767746,513429,23.94,40.22,Spring
2021-06-30,63497092.26937082,513871,21.03,52.97,Summer
2021-07-31,59974597.46763655,514250,15.19,67.5,Summer
2021-08-31,58059438.82047858,515121,13.28,79.45,Summer
2021-09-30,60628118.52206945,515618,8.6,73.2,Fall
2021-10-31,62344274.65483282,515906,10.68,78.3,Fall
2021-11-30,64359450.39242707,516571,14.22,67.93,Fall
2021-12-31,52613617.57459119,516827,17.07,42.86,Winter
2022-01-31,52205868.8027972,517369,25.59,53.66,Winter
2022-02-28,56114473.837608114,517477,29.18,28.76,Winter
2022-03-31,62775844.7236526,517711,30.01,8.09,Spring
2022-04-30,63432583.973996066,518250,28.19,30.58,Spring
2022-05-31,61196280.14569668,518898,22.17,25.25,Spring
2022-06-30,61432064.78429669,519432,19.16,57.87,Summer
2022-07-31,60554967.44325993,519909,14.31,76.59,Summer
2022-08-31,56719730.5558778,520349,9.74,67.77,Summer
2022-09-30,61178299.90104989,520553,9.68,89.63,Fall
2022-10-31,64630610.236220606,520909,12.15,80.11,Fall
2022-11-30,68293962.94363196,521317,18.77,73.22,Fall
2022-12-31,54927873.40813895,522029,20.35,68.97,Winter
2023-01-31,54475467.304663904,522597,25.52,32.55,Winter
2023-02-28,58075225.36760712,522745,28.51,16.48,Winter
2023-03-31,62157468.27515433,523310,26.16,11.1,Spring
2023-04-30,64958175.37639138,523733,28.61,15.86,Spring
2023-05-31,63127633.45732268,524097,25.12,34.23,Spring
2023-06-30,66775538.56987458,524720,24.93,53.41,Summer
2023-07-31,63887749.74838989,525426,14.62,67.77,Summer
2023-08-31,59988478.70052743,526112,11.94,84.25,Summer
2023-09-30,62618176.32581336,526444,9.93,80.13,Fall
2023-10-31,64143379.928221196,526882,9.0,90.52,Fall
2023-11-30,68568032.09872468,527449,17.29,62.35,Fall
2023-12-31,57533616.66644911,528144,21.5,77.2,Winter
